training_step, return
1864,-500.0
1929,-500.0
1994,-500.0
2059,-500.0
3924,-500.0
3989,-500.0
4054,-500.0
4119,-500.0
5984,-500.0
6049,-500.0
6114,-500.0
6179,-500.0
7849,-500.0
7914,-500.0
7979,-500.0
8044,-500.0
9909,-500.0
9974,-500.0
10039,-500.0
10104,-500.0
11932,-462.0
11969,-500.0
12034,-500.0
12099,-500.0
13649,-444.0
13834,-500.0
13916,-451.0
13992,-500.0
15179,-359.0
15253,-361.0
15857,-500.0
15894,-500.0
16768,-418.0
17302,-488.0
17695,-435.0
17917,-500.0
18828,-500.0
19167,-500.0
19560,-500.0
19977,-500.0
20627,-433.0
21190,-462.0
21620,-500.0
22037,-500.0
22218,-420.0
23055,-500.0
23336,-323.0
23436,-450.0
24278,-500.0
25115,-500.0
25201,-500.0
25496,-500.0
25608,-354.0
26685,-399.0
26806,-334.0
27007,-440.0
27106,-327.0
28135,-353.0
28272,-416.0
28431,-349.0
28837,-464.0
29568,-320.0
29710,-303.0
30124,-311.0
30195,-500.0
30833,-289.0
31024,-338.0
31488,-317.0
31640,-221.0
31924,-434.0
32348,-348.0
32481,-166.0
32654,-233.0
32799,-335.0
33131,-197.0
33594,-209.0
33676,-241.0
34005,-353.0
34326,-146.0
34404,-297.0
34722,-265.0
34795,-204.0
34890,-173.0
34943,-148.0
35491,-183.0
35616,-235.0
35713,-184.0
35892,-221.0
36038,-156.0
36380,-178.0
36505,-206.0
36703,-225.0
36903,-132.0
37025,-129.0
37077,-258.0
37492,-203.0
37659,-170.0
37777,-166.0
37862,-199.0
38246,-168.0
38290,-122.0
38377,-124.0
38676,-236.0
38804,-167.0
38838,-157.0
38915,-147.0
39234,-167.0
39352,-123.0
39557,-167.0
39899,-156.0
39913,-217.0
39982,-162.0
40484,-180.0
40588,-250.0
40666,-181.0
40779,-211.0
41387,-213.0
41433,-181.0
41540,-175.0
42133,-160.0
42325,-199.0
42470,-256.0
42544,-500.0
42696,-172.0
43023,-162.0
43296,-166.0
43534,-120.0
43611,-119.0
43727,-250.0
43910,-414.0
44037,-112.0
44346,-149.0
44443,-142.0
44463,-150.0
44816,-193.0
44876,-139.0
44975,-141.0
44982,-128.0
45338,-131.0
45480,-114.0
45501,-128.0
45633,-171.0
45880,-151.0
46015,-144.0
46058,-166.0
46203,-179.0
46620,-154.0
46751,-150.0
46971,-182.0
47069,-230.0
47146,-135.0
47271,-129.0
47492,-130.0
47595,-135.0
47667,-130.0
47825,-163.0
47968,-105.0
48120,-134.0
48278,-200.0
48327,-111.0
48650,-139.0
48710,-156.0
48795,-126.0
48840,-122.0
49196,-155.0
49264,-163.0
49316,-130.0
49361,-130.0
49698,-111.0
49764,-109.0
49839,-132.0
49915,-163.0
50246,-91.0
50438,-132.0
50440,-156.0
50580,-155.0
50756,-120.0
50773,-136.0
51097,-126.0
51267,-120.0
51298,-134.0
51454,-235.0
51647,-159.0
51821,-132.0
52040,-187.0
52203,-163.0
52331,-119.0
52395,-162.0
52580,-149.0
52701,-110.0
52749,-155.0
52856,-134.0
53221,-129.0
53254,-114.0
53403,-156.0
53567,-206.0
53922,-128.0
53953,-146.0
54020,-180.0
54451,-138.0
54562,-151.0
54756,-217.0
55117,-164.0
55203,-166.0
55432,-500.0
55537,-195.0
55736,-142.0
55858,-155.0
55959,-136.0
56022,-90.0
56052,-124.0
56364,-115.0
56478,-128.0
56578,-135.0
56775,-167.0
56873,-99.0
56878,-123.0
57182,-108.0
57241,-177.0
57291,-125.0
57393,-129.0
57716,-143.0
57809,-127.0
57990,-163.0
58114,-135.0
58225,-118.0
58314,-114.0
58555,-174.0
58643,-138.0
58826,-121.0
58941,-102.0
59057,-111.0
59143,-121.0
59466,-134.0
59657,-123.0
59815,-172.0
60150,-102.0
60206,-154.0
60285,-500.0
60333,-127.0
60683,-142.0
60731,-134.0
60796,-120.0
60868,-144.0
61085,-93.0
61150,-86.0
61233,-111.0
61442,-173.0
61588,-112.0
61637,-96.0
61938,-105.0
62011,-192.0
62128,-149.0
62532,-130.0
62643,-124.0
62671,-147.0
62842,-114.0
62978,-111.0
63178,-144.0
63307,-500.0
63313,-80.0
63473,-104.0
63689,-120.0
63829,-131.0
63839,-135.0
63975,-111.0
64349,-129.0
64358,-128.0
64432,-157.0
64491,-125.0
64650,-96.0
64792,-105.0
64865,-125.0
64956,-133.0
65257,-105.0
65597,-146.0
65676,-245.0
65795,-222.0
66036,-193.0
66123,-135.0
66332,-146.0
66479,-217.0
66656,-142.0
66771,-149.0
66842,-119.0
66994,-124.0
67295,-133.0
67343,-110.0
67469,-227.0
67505,-120.0
67652,-113.0
67976,-116.0
68042,-146.0
68109,-228.0
68162,-119.0
68506,-139.0
68544,-111.0
68603,-103.0
68907,-159.0
69130,-136.0
69247,-155.0
69308,-178.0
69425,-127.0
69679,-158.0
69737,-116.0
69773,-135.0
69817,-118.0
70181,-111.0
70331,-123.0
70463,-140.0
70654,-127.0
70665,-93.0
70991,-137.0
71224,-168.0
71421,-181.0
71526,-144.0
71743,-128.0
71833,-500.0
72063,-146.0
72140,-111.0
72206,-199.0
72260,-126.0
72599,-145.0
72706,-109.0
72895,-169.0
73019,-173.0
73244,-147.0
73440,-154.0
73523,-113.0
73591,-211.0
73831,-112.0
73976,-146.0
74102,-120.0
74168,-142.0
74510,-143.0
74561,-144.0
74878,-121.0
74935,-247.0
74951,-197.0
75063,-162.0
75435,-109.0
75656,-192.0
75803,-154.0
76220,-199.0
76424,-182.0
76622,-233.0
76816,-500.0
77142,-129.0
77194,-184.0
77225,-224.0
77570,-168.0
77671,-138.0
77725,-140.0
78129,-168.0
78177,-115.0
78242,-126.0
78276,-270.0
78643,-123.0
78912,-149.0
79006,-178.0
79057,-195.0
79371,-142.0
79479,-176.0
79515,-118.0
79572,-124.0
80065,-159.0
80101,-138.0
80146,-189.0
80214,-149.0
80715,-178.0
80742,-137.0
80827,-176.0
80877,-190.0
81245,-139.0
81377,-159.0
81417,-149.0
81517,-189.0
82237,-211.0
82345,-242.0
82366,-208.0
82427,-229.0
82768,-140.0
82918,-161.0
83104,-173.0
83202,-189.0
83323,-164.0
83700,-196.0
83887,-197.0
84033,-245.0
84323,-219.0
84684,-211.0
84700,-219.0
84779,-160.0
85089,-180.0
85442,-172.0
85504,-218.0
85558,-193.0
85890,-215.0
86197,-169.0
86301,-211.0
86366,-222.0
86655,-179.0
87020,-237.0
87036,-149.0
87108,-156.0
87192,-146.0
87647,-148.0
87719,-136.0
87763,-157.0
87879,-257.0
88239,-129.0
88306,-152.0
88410,-177.0
88616,-151.0
88936,-135.0
89022,-197.0
89079,-187.0
89140,-133.0
89463,-136.0
89837,-172.0
89970,-116.0
90042,-239.0
90197,-276.0
90355,-127.0
90776,-220.0
90849,-221.0
90902,-156.0
90966,-183.0
91320,-153.0
91373,-133.0
91420,-127.0
91506,-149.0
92039,-142.0
92064,-158.0
92110,-151.0
