step,score,cells,select_leaf_ratio
3000,0.0,51,1.0
5989,0.0,70,0.7333333333333333
8840,0.0,70,0.6777777777777778
11735,0.0,76,0.625
14612,0.0,82,0.5933333333333334
17612,0.0,84,0.55
20612,0.0,89,0.5380952380952381
23599,0.0,89,0.5125
26599,0.0,92,0.4962962962962963
29599,0.0,93,0.49
32599,0.0,95,0.49393939393939396
35599,0.0,96,0.4861111111111111
38584,0.0,96,0.46923076923076923
41584,0.0,96,0.4785714285714286
44584,0.0,96,0.48444444444444446
47556,0.0,96,0.4791666666666667
50556,0.0,98,0.47843137254901963
53556,0.0,101,0.4759259259259259
56556,0.0,102,0.46842105263157896
59556,0.0,102,0.4666666666666667
62556,0.0,102,0.4666666666666667
65556,0.0,103,0.46515151515151515
68556,0.0,104,0.4666666666666667
71556,0.0,107,0.46805555555555556
74556,0.0,107,0.4746666666666667
77556,0.0,107,0.4794871794871795
80556,0.0,109,0.4777777777777778
83556,0.0,110,0.4738095238095238
86556,0.0,110,0.47126436781609193
89533,0.0,111,0.47333333333333333
92533,0.0,112,0.4698924731182796
95533,100.0,114,0.46770833333333334
98533,100.0,127,0.4666666666666667
101533,100.0,140,0.46372549019607845
104533,100.0,145,0.4638095238095238
107484,100.0,152,0.4601851851851852
110459,100.0,155,0.46126126126126127
113336,100.0,155,0.45789473684210524
116224,100.0,159,0.4564102564102564
119199,100.0,163,0.46166666666666667
122199,100.0,174,0.46504065040650405
125199,100.0,175,0.46825396825396826
128198,100.0,175,0.4666666666666667
131149,100.0,177,0.4696969696969697
134097,100.0,178,0.46814814814814815
137055,100.0,182,0.46594202898550724
140055,100.0,185,0.4673758865248227
143017,100.0,190,0.46597222222222223
146017,100.0,192,0.46870748299319726
148910,400.0,201,0.47
151910,400.0,208,0.4725490196078431
154906,400.0,213,0.4737179487179487
157854,400.0,217,0.4729559748427673
160853,400.0,219,0.47098765432098766
163561,400.0,221,0.4703030303030303
166460,400.0,222,0.46904761904761905
169410,400.0,242,0.4678362573099415
172220,400.0,242,0.46954022988505745
175137,400.0,243,0.47062146892655365
177960,400.0,253,0.4716666666666667
180929,400.0,282,0.4726775956284153
183835,400.0,411,0.4736559139784946
186784,400.0,503,0.4724867724867725
189784,400.0,596,0.471875
192765,400.0,653,0.46923076923076923
195605,400.0,718,0.4696969696969697
198538,400.0,791,0.4696517412935323
201455,400.0,829,0.4681372549019608
204425,400.0,854,0.4671497584541063
207419,400.0,891,0.4661904761904762
210419,400.0,914,0.46619718309859154
213411,400.0,970,0.4638888888888889
216411,400.0,1018,0.4611872146118721
219370,400.0,1061,0.46126126126126127
222314,400.0,1088,0.46
225314,400.0,1098,0.45964912280701753
228276,500.0,1158,0.4588744588744589
231276,500.0,1181,0.4598290598290598
234185,500.0,1191,0.4607594936708861
237095,500.0,1211,0.46
240043,500.0,1239,0.4604938271604938
243024,500.0,1270,0.45934959349593496
