step,score,cells,select_leaf_ratio
3000,0.0,48,1.0
6000,0.0,55,0.7666666666666667
8913,0.0,60,0.6333333333333333
11875,0.0,71,0.5333333333333333
14765,0.0,80,0.5333333333333333
17730,0.0,82,0.5111111111111111
20663,0.0,84,0.48095238095238096
23663,0.0,85,0.4791666666666667
26631,0.0,85,0.4777777777777778
29631,0.0,86,0.47333333333333333
32593,0.0,86,0.4696969696969697
35593,0.0,87,0.4666666666666667
38581,0.0,87,0.4641025641025641
41568,0.0,87,0.47619047619047616
44568,0.0,88,0.4866666666666667
47548,0.0,88,0.4895833333333333
50548,0.0,88,0.4803921568627451
53548,0.0,90,0.49074074074074076
56548,0.0,90,0.47543859649122805
59548,0.0,90,0.47333333333333333
62548,0.0,90,0.46825396825396826
65548,0.0,91,0.4666666666666667
68548,0.0,92,0.4652173913043478
71548,0.0,92,0.46111111111111114
74548,0.0,93,0.4666666666666667
77548,0.0,94,0.4705128205128205
80548,0.0,95,0.4679012345679012
83548,0.0,96,0.4714285714285714
86548,0.0,98,0.4839080459770115
89548,0.0,98,0.4811111111111111
92548,0.0,98,0.48494623655913977
95548,0.0,98,0.484375
98548,0.0,101,0.48484848484848486
101548,0.0,102,0.4843137254901961
104548,0.0,102,0.4838095238095238
107548,0.0,103,0.48148148148148145
110548,0.0,105,0.4846846846846847
113548,0.0,105,0.4903508771929825
116548,0.0,107,0.488034188034188
119548,0.0,107,0.48833333333333334
122548,0.0,107,0.4902439024390244
125548,0.0,108,0.4928571428571429
128548,0.0,108,0.49612403100775193
131548,0.0,109,0.4962121212121212
134548,0.0,109,0.49407407407407405
137548,0.0,109,0.4963768115942029
140548,0.0,110,0.49645390070921985
143544,0.0,112,0.49583333333333335
146544,0.0,112,0.4965986394557823
149544,0.0,112,0.49866666666666665
152544,0.0,112,0.49673202614379086
155544,0.0,112,0.49551282051282053
158543,0.0,112,0.4981132075471698
161543,0.0,112,0.49876543209876545
164543,0.0,113,0.5
167543,0.0,113,0.5017857142857143
170543,0.0,113,0.5023391812865498
173543,0.0,114,0.5040229885057471
176543,0.0,114,0.5028248587570622
179543,0.0,114,0.5066666666666667
182543,0.0,114,0.5081967213114754
185543,0.0,114,0.5080645161290323
188543,0.0,115,0.5100529100529101
191543,0.0,115,0.509375
194543,0.0,115,0.5087179487179487
197543,0.0,115,0.5080808080808081
200543,0.0,116,0.5069651741293533
203543,0.0,116,0.5083333333333333
206543,0.0,116,0.508695652173913
209543,0.0,118,0.5085714285714286
212543,0.0,118,0.5089201877934272
215543,0.0,118,0.5092592592592593
218543,0.0,118,0.5082191780821917
221543,0.0,118,0.5094594594594595
224543,0.0,118,0.5097777777777778
227543,0.0,118,0.5074561403508772
230543,0.0,118,0.5069264069264069
233543,0.0,118,0.5064102564102564
236543,0.0,118,0.5037974683544304
239543,0.0,118,0.50125
242543,0.0,119,0.5020576131687243
245543,0.0,120,0.5004065040650406
248543,0.0,120,0.4991967871485944
251543,0.0,120,0.4976190476190476
254543,0.0,120,0.4976470588235294
257543,0.0,120,0.4968992248062015
260543,0.0,120,0.4957854406130268
263543,0.0,120,0.4943181818181818
266543,0.0,120,0.4943820224719101
269543,0.0,120,0.49592592592592594
272543,0.0,121,0.4967032967032967
275543,0.0,121,0.4967391304347826
278543,0.0,121,0.496415770609319
281543,0.0,121,0.4968085106382979
284543,0.0,121,0.4968421052631579
