step,score,cells,select_leaf_ratio
3000,0.0,46,1.0
5972,0.0,52,0.7166666666666667
8951,0.0,72,0.6
11951,0.0,75,0.55
14951,0.0,77,0.52
17951,0.0,79,0.5222222222222223
20951,0.0,80,0.5333333333333333
23951,0.0,84,0.5125
26951,0.0,84,0.5074074074074074
29951,0.0,92,0.48333333333333334
32939,0.0,95,0.48787878787878786
35939,0.0,97,0.4888888888888889
38928,0.0,99,0.5
41928,0.0,101,0.48333333333333334
44925,0.0,105,0.47555555555555556
47900,0.0,105,0.47708333333333336
50887,0.0,105,0.4803921568627451
53871,0.0,105,0.4703703703703704
56871,0.0,105,0.4789473684210526
59871,0.0,105,0.48
62871,0.0,105,0.48095238095238096
65871,0.0,106,0.48484848484848486
68871,0.0,106,0.4826086956521739
71871,0.0,106,0.4847222222222222
74871,0.0,106,0.48533333333333334
77871,0.0,106,0.48205128205128206
80871,0.0,106,0.48148148148148145
83871,0.0,106,0.47619047619047616
86871,0.0,106,0.4839080459770115
89871,0.0,106,0.4866666666666667
92871,0.0,106,0.4838709677419355
95871,0.0,106,0.4875
98871,0.0,107,0.49595959595959593
101871,0.0,107,0.49901960784313726
104871,0.0,108,0.4990476190476191
107871,0.0,109,0.49907407407407406
110871,0.0,110,0.4990990990990991
113871,0.0,110,0.49736842105263157
116871,0.0,110,0.4965811965811966
119871,0.0,110,0.49666666666666665
122871,0.0,110,0.4943089430894309
125871,0.0,110,0.4928571428571429
128871,0.0,110,0.4930232558139535
131871,0.0,110,0.4954545454545455
134871,0.0,110,0.49333333333333335
137871,0.0,110,0.4920289855072464
140871,0.0,110,0.48936170212765956
143871,0.0,110,0.48333333333333334
146871,0.0,110,0.48027210884353744
149871,0.0,110,0.478
152871,0.0,110,0.4764705882352941
155871,0.0,111,0.475
158871,0.0,111,0.4729559748427673
161871,0.0,111,0.4740740740740741
164871,0.0,111,0.4703030303030303
167871,0.0,111,0.4708333333333333
170871,0.0,111,0.47192982456140353
173871,0.0,111,0.47413793103448276
176871,0.0,112,0.47401129943502823
179871,0.0,112,0.475
182871,0.0,113,0.4726775956284153
185871,0.0,113,0.4720430107526882
188871,0.0,113,0.4740740740740741
191871,0.0,114,0.475
194871,0.0,114,0.47384615384615386
197871,0.0,114,0.4712121212121212
200871,0.0,115,0.4696517412935323
203871,0.0,115,0.47009803921568627
206871,0.0,115,0.47004830917874396
209871,0.0,115,0.4704761904761905
212871,0.0,115,0.47136150234741786
215871,0.0,115,0.4726851851851852
218871,0.0,115,0.471689497716895
221871,0.0,115,0.4702702702702703
224871,0.0,115,0.4697777777777778
227871,0.0,115,0.4692982456140351
230871,0.0,115,0.47056277056277057
233871,0.0,115,0.47264957264957264
236871,0.0,115,0.47341772151898737
239871,0.0,115,0.4741666666666667
242871,0.0,115,0.4732510288065844
245871,0.0,115,0.47276422764227644
248871,0.0,115,0.472289156626506
251871,0.0,115,0.4726190476190476
254871,0.0,115,0.47058823529411764
257871,0.0,115,0.47015503875968995
260871,0.0,115,0.4689655172413793
263871,0.0,116,0.4662878787878788
266859,0.0,116,0.4640449438202247
