step,score,cells,select_leaf_ratio
3000,0.0,43,1.0
6000,0.0,63,0.7333333333333333
8961,0.0,65,0.7111111111111111
11813,0.0,75,0.6083333333333333
14801,0.0,78,0.5733333333333334
17801,0.0,82,0.5222222222222223
20801,0.0,84,0.5142857142857142
23776,0.0,87,0.49583333333333335
26776,0.0,93,0.4888888888888889
29776,0.0,95,0.49
32741,0.0,97,0.47878787878787876
35716,0.0,97,0.4666666666666667
38669,0.0,100,0.45897435897435895
41654,0.0,101,0.45476190476190476
44654,0.0,101,0.46444444444444444
47654,0.0,104,0.44375
50611,0.0,105,0.44313725490196076
53611,0.0,105,0.43703703703703706
56573,0.0,105,0.4421052631578947
59573,0.0,106,0.445
62573,0.0,106,0.4444444444444444
65573,0.0,106,0.4393939393939394
68573,0.0,106,0.4391304347826087
71573,0.0,106,0.44166666666666665
74573,0.0,106,0.44266666666666665
77542,0.0,107,0.43846153846153846
80542,0.0,109,0.43580246913580245
83542,0.0,109,0.44047619047619047
86542,0.0,109,0.4425287356321839
89542,0.0,109,0.4477777777777778
92527,0.0,110,0.44408602150537635
95527,0.0,111,0.44375
98527,0.0,111,0.44242424242424244
101527,0.0,114,0.442156862745098
104516,0.0,114,0.44
107516,0.0,114,0.4388888888888889
110516,0.0,114,0.436036036036036
113495,0.0,114,0.4359649122807018
116495,0.0,114,0.4393162393162393
119495,0.0,114,0.43916666666666665
122487,0.0,114,0.44065040650406506
125483,0.0,114,0.44206349206349205
128483,0.0,114,0.44263565891472867
131462,0.0,114,0.4393939393939394
134462,0.0,114,0.4437037037037037
137462,0.0,115,0.44130434782608696
140462,0.0,115,0.4418439716312057
143462,0.0,115,0.44166666666666665
146452,0.0,115,0.4414965986394558
149437,0.0,115,0.44466666666666665
152437,0.0,115,0.44836601307189544
155437,0.0,115,0.4467948717948718
158437,0.0,117,0.44339622641509435
161437,0.0,117,0.4425925925925926
164437,400.0,128,0.4393939393939394
167437,400.0,128,0.4380952380952381
170431,400.0,128,0.43625730994152045
173431,400.0,131,0.43275862068965515
176410,400.0,143,0.4350282485875706
179278,400.0,155,0.43722222222222223
182110,400.0,156,0.4382513661202186
184990,400.0,158,0.439247311827957
187914,400.0,158,0.43915343915343913
190865,400.0,158,0.4401041666666667
193743,400.0,164,0.44153846153846155
196743,400.0,164,0.44292929292929295
199619,400.0,166,0.4427860696517413
202604,400.0,175,0.4426470588235294
205475,400.0,176,0.442512077294686
208376,400.0,180,0.4423809523809524
211376,400.0,180,0.4431924882629108
214352,400.0,180,0.4444444444444444
217352,400.0,181,0.4438356164383562
220252,400.0,181,0.4436936936936937
223188,400.0,182,0.44266666666666665
226188,400.0,183,0.4407894736842105
229188,400.0,184,0.4380952380952381
232136,400.0,184,0.4358974358974359
235136,400.0,184,0.43670886075949367
238136,400.0,185,0.4370833333333333
241136,400.0,187,0.4374485596707819
244071,400.0,189,0.4373983739837398
247071,400.0,190,0.4397590361445783
250037,400.0,190,0.4392857142857143
253037,400.0,190,0.44
256037,400.0,190,0.4422480620155039
259037,400.0,190,0.4425287356321839
261974,400.0,190,0.44166666666666665
264974,400.0,190,0.4411985018726592
267890,400.0,195,0.44185185185185183
270767,400.0,195,0.44285714285714284
273617,400.0,195,0.4427536231884058
276444,400.0,203,0.4437275985663082
279444,400.0,204,0.44468085106382976
282444,400.0,208,0.44526315789473686
285422,400.0,208,0.4461805555555556
288361,400.0,208,0.447766323024055
291355,400.0,209,0.4479591836734694
294355,400.0,209,0.44915824915824915
297274,400.0,210,0.4503333333333333
300239,400.0,210,0.45016501650165014
303206,400.0,210,0.45065359477124184
306206,400.0,210,0.4533980582524272
309206,400.0,212,0.45384615384615384
312160,400.0,212,0.45365079365079364
315145,400.0,216,0.4547169811320755
318099,400.0,218,0.45295950155763237
321099,400.0,252,0.45339506172839505
