step,score,cells,select_leaf_ratio
3000,0.0,47,1.0
5967,0.0,51,0.7166666666666667
8967,0.0,54,0.6555555555555556
11950,0.0,65,0.5583333333333333
14950,0.0,72,0.56
17950,0.0,80,0.5166666666666667
20950,0.0,82,0.5190476190476191
23950,0.0,84,0.5
26950,0.0,84,0.48148148148148145
29950,0.0,84,0.4766666666666667
32950,0.0,84,0.47878787878787876
35950,0.0,88,0.46944444444444444
38950,0.0,91,0.46923076923076923
41950,0.0,92,0.4642857142857143
44950,0.0,94,0.46
47950,0.0,94,0.45416666666666666
50950,0.0,95,0.46078431372549017
53950,0.0,98,0.45
56950,0.0,98,0.4421052631578947
59950,0.0,99,0.45166666666666666
62950,0.0,99,0.4523809523809524
65950,0.0,99,0.453030303030303
68950,0.0,99,0.45362318840579713
71950,0.0,100,0.4527777777777778
74950,0.0,100,0.45866666666666667
77950,0.0,100,0.4551282051282051
80950,0.0,100,0.45185185185185184
83950,0.0,100,0.4630952380952381
86950,0.0,101,0.4724137931034483
89950,0.0,103,0.4711111111111111
92950,0.0,103,0.47096774193548385
95950,0.0,103,0.4708333333333333
98950,0.0,103,0.4707070707070707
101950,0.0,104,0.47058823529411764
104950,0.0,105,0.4676190476190476
107950,0.0,105,0.46296296296296297
110950,0.0,105,0.46216216216216216
113950,0.0,105,0.4675438596491228
116950,0.0,105,0.4675213675213675
119950,0.0,105,0.47
122950,0.0,105,0.4691056910569106
125950,0.0,105,0.47063492063492063
128950,0.0,105,0.4744186046511628
131950,0.0,106,0.475
134950,0.0,109,0.4762962962962963
137950,0.0,110,0.4826086956521739
140950,0.0,110,0.4787234042553192
143950,0.0,111,0.4826388888888889
146950,0.0,111,0.48435374149659866
149950,0.0,111,0.48333333333333334
152950,0.0,112,0.4823529411764706
155950,0.0,112,0.4794871794871795
158950,0.0,112,0.479874213836478
161950,0.0,112,0.47962962962962963
164950,0.0,112,0.4775757575757576
167950,0.0,112,0.47619047619047616
170950,0.0,112,0.47719298245614034
173950,0.0,112,0.4752873563218391
176950,0.0,113,0.4774011299435028
179950,0.0,113,0.4766666666666667
182950,0.0,113,0.47595628415300545
185950,0.0,113,0.4774193548387097
188950,0.0,113,0.47883597883597884
191950,0.0,113,0.47708333333333336
194950,0.0,114,0.4748717948717949
197950,0.0,114,0.47474747474747475
200950,0.0,114,0.47512437810945274
203950,0.0,114,0.47549019607843135
206950,0.0,114,0.47391304347826085
209950,0.0,114,0.4723809523809524
212950,0.0,114,0.4699530516431925
215950,0.0,114,0.4699074074074074
218950,0.0,114,0.4680365296803653
221950,0.0,114,0.4657657657657658
224950,0.0,114,0.46844444444444444
227950,0.0,114,0.46885964912280703
230950,0.0,114,0.4688311688311688
233950,0.0,114,0.46794871794871795
236950,0.0,114,0.46624472573839665
239950,0.0,114,0.46541666666666665
242950,0.0,115,0.4662551440329218
245950,0.0,116,0.4658536585365854
248950,0.0,116,0.46546184738955826
251950,0.0,118,0.4654761904761905
254950,0.0,118,0.46509803921568627
257950,0.0,118,0.46434108527131784
260950,100.0,125,0.46513409961685825
263950,100.0,125,0.4640151515151515
266950,100.0,144,0.46142322097378274
269944,100.0,159,0.4596296296296296
272870,100.0,167,0.4597069597069597
275708,400.0,181,0.461231884057971
278674,400.0,196,0.4612903225806452
281640,400.0,206,0.46099290780141844
284486,400.0,236,0.4610526315789474
287419,400.0,270,0.4597222222222222
290317,400.0,277,0.4601374570446735
293279,400.0,331,0.4608843537414966
296200,400.0,383,0.46094276094276093
298987,400.0,429,0.462
301856,400.0,476,0.46204620462046203
304600,400.0,576,0.4620915032679739
307550,400.0,616,0.46181229773462784
310486,400.0,684,0.46057692307692305
313276,400.0,721,0.46
316174,400.0,782,0.459748427672956
319072,400.0,810,0.45919003115264795
322005,400.0,836,0.4595679012345679
324820,400.0,869,0.4581039755351682
327692,400.0,934,0.4587878787878788
330613,400.0,986,0.4582582582582583
333352,400.0,998,0.4574404761904762
336238,400.0,1023,0.45634218289085543
339215,400.0,1082,0.45789473684210524
342119,400.0,1102,0.45710144927536234
345030,400.0,1140,0.4589080459770115
347978,400.0,1179,0.4581196581196581
350970,400.0,1194,0.45734463276836157
353946,400.0,1223,0.4568627450980392
356946,400.0,1259,0.4572222222222222
359895,400.0,1279,0.45867768595041325
362893,400.0,1290,0.45792349726775955
