step,score,cells,select_leaf_ratio
3000,0.0,52,1.0
5929,0.0,74,0.7333333333333333
8831,0.0,80,0.6888888888888889
11831,0.0,83,0.6
14742,0.0,84,0.5733333333333334
17730,0.0,87,0.5555555555555556
20657,0.0,88,0.5238095238095238
23621,0.0,89,0.5375
26621,0.0,89,0.5148148148148148
29621,0.0,90,0.49666666666666665
32621,0.0,90,0.5
35549,0.0,92,0.4861111111111111
38549,0.0,97,0.4794871794871795
41549,0.0,103,0.4738095238095238
44549,0.0,103,0.4777777777777778
47484,0.0,104,0.48125
50484,0.0,104,0.48627450980392156
53484,0.0,109,0.48518518518518516
56484,0.0,109,0.4842105263157895
59484,0.0,111,0.48333333333333334
62484,0.0,111,0.48253968253968255
65484,0.0,112,0.47878787878787876
68484,0.0,114,0.47681159420289854
71484,0.0,114,0.47638888888888886
74484,0.0,114,0.47333333333333333
77476,0.0,115,0.47307692307692306
80454,0.0,115,0.4691358024691358
83454,100.0,122,0.4666666666666667
86439,100.0,129,0.4666666666666667
89439,100.0,130,0.4722222222222222
92439,100.0,130,0.4806451612903226
95439,100.0,148,0.48333333333333334
98325,100.0,151,0.4868686868686869
101160,100.0,157,0.48823529411764705
104160,100.0,160,0.49047619047619045
107114,400.0,185,0.49444444444444446
110080,400.0,233,0.4927927927927928
113002,400.0,273,0.4956140350877193
115832,400.0,332,0.49572649572649574
118609,400.0,397,0.49583333333333335
121310,400.0,496,0.4951219512195122
124216,400.0,573,0.48968253968253966
127092,400.0,655,0.4868217054263566
129776,400.0,701,0.48333333333333334
132397,400.0,744,0.4837037037037037
135166,400.0,783,0.48478260869565215
137700,400.0,817,0.48226950354609927
140524,400.0,860,0.48055555555555557
143385,400.0,921,0.48027210884353744
145840,400.0,972,0.4766666666666667
148840,400.0,1032,0.477124183006536
151662,400.0,1066,0.475
154390,400.0,1108,0.4748427672955975
157022,400.0,1146,0.47530864197530864
159776,400.0,1184,0.4763636363636364
162362,400.0,1222,0.4779761904761905
165123,400.0,1251,0.47485380116959064
168070,400.0,1275,0.47586206896551725
170947,400.0,1288,0.47570621468926555
173832,400.0,1294,0.4761111111111111
176679,400.0,1299,0.4781420765027322
179549,400.0,1317,0.4774193548387097
182390,400.0,1348,0.4783068783068783
185314,400.0,1377,0.47708333333333336
187920,400.0,1379,0.4794871794871795
190859,400.0,1393,0.4777777777777778
193631,400.0,1408,0.4791044776119403
196589,400.0,1424,0.47990196078431374
199300,400.0,1435,0.4782608695652174
202184,400.0,1461,0.4795238095238095
204865,400.0,1485,0.4788732394366197
207547,400.0,1499,0.47962962962962963
210022,400.0,1506,0.4794520547945205
212510,400.0,1511,0.47792792792792793
214969,400.0,1545,0.4791111111111111
217563,400.0,1562,0.4776315789473684
220043,400.0,1566,0.47878787878787876
222644,400.0,1580,0.4811965811965812
225227,400.0,1591,0.47932489451476795
228160,400.0,1606,0.48083333333333333
230740,400.0,1617,0.4794238683127572
233372,400.0,1623,0.48048780487804876
236040,400.0,1639,0.4811244979919679
238748,400.0,1641,0.48293650793650794
241262,400.0,1663,0.4811764705882353
243986,400.0,1678,0.4810077519379845
246423,400.0,1691,0.4812260536398467
249245,400.0,1703,0.4810606060606061
251944,400.0,1724,0.4812734082397004
254351,400.0,1734,0.4822222222222222
257171,400.0,1737,0.484981684981685
259971,400.0,1743,0.4851449275362319
262551,400.0,1745,0.48494623655913977
265409,400.0,1753,0.48404255319148937
268137,400.0,1767,0.4856140350877193
271016,400.0,1773,0.4847222222222222
273865,400.0,1780,0.4859106529209622
276640,400.0,1792,0.48673469387755103
279509,400.0,1802,0.4855218855218855
282088,400.0,1803,0.48633333333333334
284467,400.0,1817,0.48514851485148514
287126,400.0,1838,0.4843137254901961
290009,400.0,1853,0.4841423948220065
292942,400.0,1874,0.48525641025641025
295928,400.0,1885,0.48507936507936505
298635,400.0,1894,0.4852201257861635
301598,400.0,1905,0.48473520249221186
304218,400.0,1910,0.48487654320987655
306882,400.0,1920,0.4847094801223242
309760,400.0,1929,0.4860606060606061
312740,400.0,1943,0.4846846846846847
315627,400.0,1959,0.48482142857142857
318424,400.0,1964,0.4846607669616519
321114,400.0,1970,0.48391812865497075
323794,400.0,1972,0.48405797101449277
326369,400.0,1988,0.48419540229885055
329023,400.0,2004,0.48518518518518516
331949,400.0,2011,0.48615819209039546
334501,400.0,2014,0.48739495798319327
337314,400.0,2022,0.4866666666666667
339984,400.0,2027,0.48650137741046834
342915,400.0,2030,0.48633879781420764
345629,400.0,2035,0.48644986449864497
348279,400.0,2037,0.48736559139784946
350988,400.0,2042,0.48906666666666665
353906,400.0,2044,0.4888888888888889
356610,400.0,2047,0.48923884514435695
359490,400.0,2050,0.48932291666666666
362267,400.0,2056,0.48863049095607236
365103,400.0,2061,0.488974358974359
367941,400.0,2069,0.489058524173028
370906,400.0,2072,0.48863636363636365
373741,400.0,2074,0.48872180451127817
376651,400.0,2076,0.4873134328358209
379496,400.0,2078,0.48691358024691356
382405,400.0,2079,0.4872549019607843
384875,400.0,2080,0.48759124087591244
387207,400.0,2087,0.48768115942028983
389865,400.0,2090,0.4880095923261391
392465,400.0,2091,0.4888095238095238
395116,400.0,2092,0.4891252955082742
397670,400.0,2099,0.4880281690140845
400167,400.0,2104,0.4874125874125874
402767,400.0,2106,0.48703703703703705
405279,400.0,2109,0.4868965517241379
408024,400.0,2113,0.4872146118721461
410615,400.0,2116,0.48616780045351476
412949,400.0,2116,0.48536036036036034
415673,400.0,2120,0.48456375838926175
418424,400.0,2121,0.4846666666666667
420887,400.0,2124,0.48520971302428256
423844,400.0,2126,0.4855263157894737
426683,400.0,2127,0.4849673202614379
428979,400.0,2128,0.48463203463203464
431332,400.0,2135,0.48451612903225805
434055,400.0,2138,0.48547008547008547
436606,400.0,2139,0.4859872611464968
439437,400.0,2147,0.4869198312236287
442202,400.0,2151,0.4865828092243187
445141,400.0,2154,0.486875
448100,400.0,2154,0.487991718426501
450949,400.0,2156,0.4882716049382716
453913,400.0,2160,0.4883435582822086
456883,400.0,2162,0.48821138211382115
459836,400.0,2172,0.48808080808080806
462661,400.0,2176,0.48734939759036144
465428,400.0,2179,0.4870259481037924
468398,400.0,2187,0.4865079365079365
471253,400.0,2194,0.48599605522682443
474125,400.0,2199,0.4856862745098039
476872,400.0,2202,0.4855750487329435
479619,400.0,2203,0.48604651162790696
482391,400.0,2207,0.4857418111753372
485298,400.0,2210,0.48582375478927203
488134,400.0,2211,0.4857142857142857
490971,400.0,2223,0.484469696969697
493880,400.0,2232,0.4849340866290019
496749,400.0,2236,0.4842696629213483
499662,500.0,2243,0.48417132216014896
502662,500.0,2249,0.48462962962962963
505613,500.0,2250,0.48471454880294657
508532,500.0,2255,0.4846153846153846
511443,500.0,2262,0.4832422586520947
514049,500.0,2268,0.48278985507246375
517011,500.0,2271,0.4828828828828829
519902,500.0,2274,0.4824372759856631
522798,500.0,2282,0.4819964349376114
525743,500.0,2284,0.48156028368794324
528695,500.0,2289,0.48165784832451497
531695,500.0,2296,0.482280701754386
534505,500.0,2302,0.4825479930191972
