step,score,cells,select_leaf_ratio
3000,0.0,46,1.0
6000,0.0,62,0.6166666666666667
8963,0.0,67,0.5444444444444444
11963,0.0,74,0.5166666666666667
14958,0.0,76,0.4866666666666667
17814,0.0,77,0.48333333333333334
20766,0.0,79,0.4857142857142857
23693,0.0,85,0.475
26686,0.0,85,0.46296296296296297
29686,0.0,85,0.45666666666666667
32686,0.0,88,0.4484848484848485
35610,0.0,88,0.45
38610,0.0,88,0.45384615384615384
41610,0.0,88,0.4523809523809524
44610,0.0,90,0.45555555555555555
47610,0.0,92,0.4479166666666667
50610,0.0,94,0.45294117647058824
53606,0.0,95,0.45555555555555555
56606,0.0,96,0.45789473684210524
59595,0.0,97,0.46166666666666667
62595,0.0,98,0.4634920634920635
65595,0.0,98,0.4666666666666667
68595,0.0,99,0.4681159420289855
71568,0.0,100,0.46944444444444444
74568,0.0,101,0.4613333333333333
77568,0.0,101,0.4641025641025641
80568,0.0,102,0.4654320987654321
83552,0.0,102,0.4607142857142857
86552,0.0,102,0.45977011494252873
89521,0.0,103,0.46
92521,0.0,105,0.46021505376344085
95521,0.0,105,0.45625
98521,0.0,105,0.45656565656565656
101521,0.0,105,0.453921568627451
104521,0.0,105,0.4514285714285714
107521,0.0,105,0.44907407407407407
110521,0.0,106,0.44954954954954957
113521,0.0,106,0.4473684210526316
116521,0.0,109,0.4461538461538462
119521,0.0,109,0.44666666666666666
122521,0.0,109,0.44390243902439025
125521,0.0,109,0.44603174603174606
128521,0.0,111,0.4449612403100775
131521,0.0,111,0.45
134501,0.0,112,0.45111111111111113
137501,0.0,112,0.4528985507246377
140489,0.0,112,0.4553191489361702
143489,0.0,112,0.4534722222222222
146489,0.0,112,0.45850340136054424
149476,0.0,112,0.45666666666666667
152462,0.0,113,0.45751633986928103
155462,0.0,116,0.4583333333333333
158462,0.0,116,0.45849056603773586
161462,0.0,116,0.4580246913580247
164430,0.0,116,0.4581818181818182
167430,0.0,116,0.45476190476190476
170430,0.0,117,0.45555555555555555
173387,0.0,117,0.4586206896551724
176387,0.0,117,0.45932203389830506
179347,0.0,117,0.4577777777777778
182329,0.0,117,0.4601092896174863
185286,0.0,117,0.4612903225806452
188210,0.0,118,0.4603174603174603
191207,0.0,118,0.45729166666666665
194207,0.0,118,0.45487179487179485
197207,0.0,118,0.45606060606060606
200207,0.0,118,0.45671641791044776
203197,0.0,118,0.4534313725490196
206197,0.0,118,0.45314009661835747
209197,0.0,118,0.45285714285714285
212197,0.0,118,0.45117370892018777
215197,0.0,118,0.44907407407407407
218175,0.0,118,0.4488584474885845
221175,0.0,119,0.44954954954954957
224175,0.0,119,0.4497777777777778
227167,0.0,119,0.4513157894736842
230124,100.0,122,0.4510822510822511
233124,100.0,126,0.45
236124,100.0,145,0.44936708860759494
239090,100.0,154,0.44916666666666666
241974,100.0,170,0.4506172839506173
244912,100.0,173,0.4508130081300813
247792,100.0,185,0.45140562248995986
250792,100.0,189,0.4511904761904762
253792,100.0,190,0.4513725490196078
256785,100.0,192,0.4503875968992248
259768,100.0,194,0.4521072796934866
262768,100.0,194,0.4511363636363636
265768,100.0,194,0.45056179775280897
268749,400.0,212,0.45185185185185184
271703,400.0,214,0.4531135531135531
274686,400.0,218,0.4528985507246377
277686,400.0,233,0.45412186379928315
280667,400.0,241,0.45390070921985815
283639,400.0,241,0.45403508771929824
286610,400.0,252,0.45243055555555556
289514,400.0,256,0.4512027491408935
292172,400.0,260,0.45136054421768707
295128,400.0,260,0.4505050505050505
297953,400.0,262,0.45
300901,400.0,273,0.45016501650165014
303879,400.0,363,0.44836601307189544
306735,400.0,463,0.44919093851132685
309696,400.0,512,0.4477564102564103
312621,400.0,561,0.4498412698412698
315404,400.0,571,0.45
318342,400.0,641,0.44984423676012464
321131,400.0,695,0.44907407407407407
323957,400.0,766,0.44984709480122326
326629,400.0,826,0.4478787878787879
329566,400.0,878,0.4465465465465465
332472,400.0,916,0.44583333333333336
335326,400.0,934,0.44424778761061945
338271,400.0,997,0.44298245614035087
341184,400.0,1025,0.4426086956521739
344112,400.0,1062,0.4419540229885057
346952,400.0,1079,0.443019943019943
349813,400.0,1096,0.4429378531073446
352785,400.0,1142,0.4411764705882353
355717,400.0,1165,0.44
358640,400.0,1190,0.4396694214876033
361584,400.0,1215,0.4396174863387978
364493,400.0,1255,0.44037940379403795
367251,400.0,1297,0.44086021505376344
370191,400.0,1325,0.4408
373191,400.0,1350,0.44047619047619047
376055,400.0,1379,0.4409448818897638
378999,400.0,1418,0.44088541666666664
381868,400.0,1428,0.4421188630490956
384737,400.0,1434,0.442051282051282
387521,400.0,1456,0.44147582697201015
390471,400.0,1505,0.44166666666666665
393413,400.0,1515,0.44085213032581455
396308,400.0,1518,0.44154228855721395
399116,400.0,1524,0.4414814814814815
402033,400.0,1533,0.44166666666666665
