step,score,cells,select_leaf_ratio
3000,0.0,53,1.0
5964,0.0,58,0.7833333333333333
8964,0.0,72,0.7444444444444445
11964,0.0,79,0.6333333333333333
14964,0.0,82,0.5666666666666667
17964,0.0,86,0.5388888888888889
20964,0.0,88,0.5095238095238095
23964,0.0,93,0.49583333333333335
26964,0.0,97,0.4925925925925926
29935,0.0,99,0.47333333333333333
32935,0.0,100,0.4666666666666667
35905,0.0,100,0.46944444444444444
38905,0.0,103,0.46923076923076923
41905,0.0,105,0.4666666666666667
44884,0.0,106,0.46444444444444444
47884,0.0,106,0.47291666666666665
50875,0.0,106,0.4745098039215686
53861,0.0,106,0.4703703703703704
56861,0.0,106,0.47192982456140353
59861,0.0,106,0.47
62861,0.0,106,0.4714285714285714
65861,0.0,106,0.4727272727272727
68861,0.0,107,0.46956521739130436
71861,0.0,107,0.475
74861,0.0,107,0.468
77850,0.0,108,0.47307692307692306
80850,0.0,108,0.4777777777777778
83850,0.0,108,0.48214285714285715
86850,0.0,108,0.48160919540229885
89850,0.0,108,0.47888888888888886
92850,0.0,108,0.4720430107526882
95816,0.0,108,0.47291666666666665
98816,0.0,108,0.47373737373737373
101816,0.0,108,0.4725490196078431
104816,0.0,109,0.4685714285714286
107816,0.0,109,0.4666666666666667
110816,0.0,110,0.46936936936936935
113758,0.0,112,0.47192982456140353
116706,0.0,112,0.47264957264957264
119613,0.0,113,0.4691666666666667
122613,0.0,113,0.46991869918699186
125554,0.0,113,0.46825396825396826
128551,0.0,113,0.465891472868217
131525,0.0,113,0.4643939393939394
134514,0.0,113,0.4614814814814815
137514,0.0,113,0.46159420289855074
140514,0.0,114,0.4602836879432624
143480,0.0,114,0.4618055555555556
146480,0.0,114,0.46530612244897956
149480,0.0,114,0.4646666666666667
152480,0.0,115,0.4666666666666667
155480,0.0,117,0.4685897435897436
158480,0.0,119,0.4691823899371069
161480,0.0,119,0.47098765432098766
164480,0.0,119,0.4721212121212121
167455,0.0,119,0.4720238095238095
170455,0.0,119,0.47368421052631576
173413,0.0,119,0.4724137931034483
176407,0.0,119,0.4728813559322034
