step,score,cells,select_leaf_ratio
3000,0.0,46,1.0
5947,0.0,65,0.6333333333333333
8947,0.0,73,0.6333333333333333
11944,0.0,79,0.6083333333333333
14933,0.0,82,0.5866666666666667
17933,0.0,85,0.5388888888888889
20933,0.0,88,0.5190476190476191
23831,0.0,89,0.5
26831,0.0,96,0.4888888888888889
29759,0.0,96,0.49666666666666665
32717,0.0,98,0.48484848484848486
35602,0.0,98,0.4861111111111111
38602,0.0,98,0.4897435897435897
41590,0.0,99,0.4928571428571429
44590,0.0,99,0.4888888888888889
47526,0.0,99,0.47708333333333336
50495,0.0,101,0.4803921568627451
53495,0.0,101,0.4759259259259259
56495,0.0,102,0.47368421052631576
59495,0.0,103,0.47333333333333333
62495,0.0,103,0.4666666666666667
65495,0.0,103,0.4575757575757576
68495,0.0,103,0.4623188405797101
71495,0.0,103,0.45694444444444443
74495,0.0,103,0.45866666666666667
77495,0.0,105,0.45897435897435895
80495,0.0,105,0.4617283950617284
83495,0.0,105,0.4607142857142857
86495,0.0,105,0.4586206896551724
89495,0.0,105,0.4577777777777778
92495,0.0,106,0.4559139784946237
95495,0.0,106,0.453125
98495,0.0,106,0.45252525252525255
101495,0.0,106,0.45294117647058824
104495,0.0,106,0.4542857142857143
107495,0.0,106,0.45185185185185184
110495,0.0,108,0.45135135135135135
113495,0.0,108,0.4473684210526316
116495,0.0,108,0.4478632478632479
119495,0.0,108,0.4475
122495,0.0,108,0.44634146341463415
125495,0.0,108,0.44682539682539685
128495,0.0,109,0.448062015503876
131495,0.0,109,0.44545454545454544
134495,0.0,109,0.4444444444444444
137495,0.0,109,0.44710144927536233
140495,0.0,109,0.4418439716312057
143495,0.0,109,0.4423611111111111
146495,0.0,109,0.4435374149659864
149495,0.0,109,0.43866666666666665
152495,0.0,109,0.4398692810457516
155495,0.0,110,0.4391025641025641
158493,0.0,110,0.4421383647798742
161493,100.0,115,0.4419753086419753
164493,100.0,128,0.44
167390,100.0,154,0.4363095238095238
170141,100.0,156,0.4368421052631579
172927,100.0,158,0.43505747126436783
175640,100.0,165,0.43389830508474575
178640,100.0,165,0.435
181640,100.0,165,0.4360655737704918
184419,100.0,168,0.439247311827957
187419,100.0,169,0.44232804232804235
190352,100.0,173,0.440625
193298,100.0,173,0.43948717948717947
196231,100.0,175,0.43686868686868685
199174,100.0,177,0.43582089552238806
201964,400.0,212,0.4357843137254902
204908,400.0,264,0.43623188405797103
207855,400.0,297,0.43761904761904763
210756,400.0,333,0.4384976525821596
213705,400.0,378,0.4393518518518518
216578,400.0,443,0.43881278538812785
219473,400.0,479,0.43873873873873875
222473,400.0,546,0.43955555555555553
225467,400.0,613,0.43991228070175437
228324,400.0,696,0.43896103896103894
231324,400.0,755,0.4393162393162393
234144,400.0,804,0.4409282700421941
237042,400.0,859,0.44166666666666665
240018,400.0,901,0.44279835390946504
242631,400.0,919,0.4426829268292683
245615,400.0,972,0.44056224899598395
248503,400.0,1021,0.44126984126984126
251328,400.0,1061,0.4403921568627451
254018,400.0,1096,0.4387596899224806
256810,400.0,1121,0.4386973180076628
259636,400.0,1142,0.4409090909090909
262575,400.0,1178,0.43820224719101125
265457,400.0,1247,0.43555555555555553
268174,400.0,1269,0.43443223443223444
270812,400.0,1281,0.43623188405797103
273633,400.0,1299,0.43584229390681006
276357,400.0,1317,0.4358156028368794
279197,400.0,1325,0.43543859649122807
281800,400.0,1330,0.434375
284617,400.0,1346,0.4367697594501718
287480,400.0,1365,0.43605442176870746
290429,400.0,1386,0.43737373737373736
293191,400.0,1399,0.43666666666666665
296021,400.0,1425,0.43795379537953794
298922,400.0,1444,0.43856209150326797
301789,400.0,1454,0.43915857605177994
304637,400.0,1470,0.4394230769230769
307387,400.0,1482,0.44
310370,400.0,1493,0.44119496855345913
313192,400.0,1499,0.44174454828660437
316055,400.0,1507,0.4404320987654321
318827,400.0,1522,0.43883792048929665
321605,400.0,1537,0.4393939393939394
324376,400.0,1549,0.43933933933933933
327207,400.0,1562,0.4401785714285714
330055,400.0,1577,0.4392330383480826
332969,400.0,1585,0.44035087719298244
335743,400.0,1594,0.4394202898550725
338634,400.0,1601,0.44080459770114944
341565,400.0,1621,0.44074074074074077
344341,400.0,1628,0.4401129943502825
347111,400.0,1642,0.4403361344537815
349917,400.0,1660,0.44027777777777777
