step,score,cells,select_leaf_ratio
3000,0.0,51,1.0
5985,0.0,58,0.6666666666666666
8985,0.0,66,0.6
11955,0.0,75,0.5416666666666666
14926,0.0,77,0.5333333333333333
17897,0.0,81,0.48333333333333334
20896,0.0,83,0.47619047619047616
23896,0.0,84,0.4791666666666667
26896,0.0,85,0.48518518518518516
29896,0.0,87,0.4866666666666667
32896,0.0,90,0.4909090909090909
35896,0.0,92,0.4888888888888889
38896,0.0,92,0.4897435897435897
41896,0.0,94,0.48333333333333334
44896,0.0,94,0.4777777777777778
47885,0.0,96,0.47708333333333336
50885,0.0,96,0.4666666666666667
53885,0.0,99,0.45925925925925926
56885,0.0,101,0.45964912280701753
59870,0.0,101,0.45
62870,0.0,101,0.45396825396825397
65870,0.0,101,0.44696969696969696
68829,0.0,101,0.45217391304347826
71829,0.0,101,0.4583333333333333
74788,0.0,101,0.456
77755,0.0,101,0.46153846153846156
80755,0.0,101,0.4654320987654321
83755,0.0,102,0.4666666666666667
86755,0.0,103,0.46091954022988507
89755,0.0,104,0.46111111111111114
92755,0.0,105,0.45806451612903226
95754,0.0,105,0.46145833333333336
98754,0.0,106,0.45454545454545453
101754,0.0,107,0.4598039215686274
104754,0.0,108,0.4580952380952381
107754,0.0,108,0.4583333333333333
110754,0.0,109,0.4594594594594595
113754,0.0,109,0.45526315789473687
116754,0.0,109,0.45726495726495725
119754,0.0,109,0.45416666666666666
122754,0.0,109,0.45691056910569106
125754,0.0,109,0.45714285714285713
128754,0.0,109,0.4573643410852713
131754,0.0,109,0.4590909090909091
134754,0.0,109,0.4577777777777778
137754,0.0,110,0.45652173913043476
140754,0.0,112,0.4574468085106383
143754,0.0,112,0.4576388888888889
146754,0.0,112,0.45918367346938777
149754,0.0,112,0.46
152754,0.0,112,0.4594771241830065
155754,0.0,112,0.46025641025641023
158754,0.0,112,0.4628930817610063
161754,0.0,112,0.46358024691358024
164754,0.0,112,0.46545454545454545
167754,0.0,112,0.46726190476190477
170754,0.0,112,0.47076023391812866
173754,0.0,112,0.4729885057471264
176721,0.0,112,0.4711864406779661
179683,0.0,112,0.4722222222222222
182683,0.0,112,0.4743169398907104
185683,0.0,115,0.4752688172043011
188683,0.0,115,0.4777777777777778
191603,0.0,115,0.4791666666666667
194603,0.0,117,0.47897435897435897
197564,0.0,117,0.47929292929292927
200564,0.0,118,0.48258706467661694
203564,0.0,118,0.48284313725490197
206564,0.0,118,0.485024154589372
209564,0.0,118,0.4866666666666667
212564,100.0,121,0.4892018779342723
